,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Returns (Annual),0.8012537029029315,0.8703236850406771,0.9676989736438073,0.9937978745970616,1.0314894847807448,1.072740932164416,0.559459471898685,0.5885730550467015,0.6321907539378112,0.6650654393315775,0.7107618789788419,0.769012220324506,0.8234017915704941,0.8677310042294097,0.9580915745250722,0.9966849812381382,1.0255156156275613,1.0425690318562653,0.7395145767480796,0.758402184460771,0.7840248947088375,0.7989414931288603,0.8204597653623886,0.8596363660624583,1.0172240238833552,1.0658095454150205,1.177869969482381,1.2299635495168564,1.2886876648114804,1.3520863487435875,0.9709123834387148,1.0172622550906687,1.097749044818135,1.1190910849570455,1.1408780668617349,1.1837981904803534,1.1902702604761841
Arithmetic Mean Returns (Annual),0.06615996559436593,0.14295171663993775,0.24947806614148213,0.2828965338550156,0.33416485365332216,0.39193528006025574,-0.31661599163651716,-0.27073840177593406,-0.19360456471180215,-0.1326109599698582,-0.05033449345664103,0.046940291208477945,0.06715045029043824,0.11243066778939922,0.21489976756335757,0.26321663432203757,0.3073550996980144,0.3463040014374082,-0.04843084518015155,-0.026435987399398713,0.022345164141219433,0.056277641295660645,0.10334889847010945,0.1721351793444045,0.28744633346027354,0.3285276165211518,0.4292422258138669,0.4803752162388796,0.5419425385784451,0.6108512390525315,0.24148893669202637,0.28337650105734785,0.3680269063167238,0.40014161953135285,0.4386329865156626,0.49841282827521,0.18563717297439875
Geometric Mean Returns (Annual),-0.22147948504433468,-0.13885151098910753,-0.032832061632515064,-0.0062213610668993,0.03100578193032666,0.07022685374097337,-0.5801100916961732,-0.5294927042285291,-0.4581437994703452,-0.40753730341386296,-0.3411847891313935,-0.2625104983337012,-0.1942354998640261,-0.141833266738417,-0.0428082507939187,-0.003320503558446042,0.025196795416682072,0.04169136606002599,-0.3015792389054195,-0.27638855372705273,-0.24319614018653013,-0.22436681979848272,-0.19781210582051068,-0.15120006794744345,0.017077955233091302,0.06374277184473254,0.16376130881556872,0.20707024325328227,0.25375308063385615,0.3018309002599806,-0.02951730541006503,0.0171155409590118,0.09327915800755315,0.11254214841949217,0.13183294765461984,0.16878502584261046,0.17424108269326055
Minimum Return (Annual),-47.86006645187667,-48.51419231945463,-49.38720584215551,-49.49054854185656,-48.96444927057744,-53.5564321519407,-49.24957004765966,-49.469571770975996,-50.884083625231696,-50.675830757146436,-50.20016223144418,-49.78289135813894,-48.51038175549371,-48.531023891949616,-49.002758635485044,-49.9601090291164,-50.64568845396175,-50.90714273103949,-51.1315462350664,-51.499091940803375,-51.77147985970444,-51.781968738996085,-53.211855077766124,-55.66460237896501,-46.36700235911073,-47.27918988474723,-47.63783130229163,-47.348927231116015,-46.98611227887144,-45.938061116173756,-50.25041774582514,-50.54871826299766,-50.07882278315615,-49.25300763878433,-48.0418887224753,-52.1850382806944,-16.280913720168044
Max 10-day Drawdown,-0.4585281134661525,-0.45273089355474516,-0.43518116049356415,-0.42528959561413104,-0.4198281094854006,-0.43803936165958635,-0.4563634251787698,-0.4509807300765729,-0.4491890571440137,-0.44020356266039684,-0.43023605851675606,-0.4195115358583794,-0.40909772737186256,-0.4162091626246116,-0.4275674859262607,-0.4373960500163978,-0.4510191847903141,-0.4691798489269382,-0.39752662210670675,-0.409471473273313,-0.43042049007087557,-0.43327184513468586,-0.44225641464711307,-0.4630310863013959,-0.4232835137782519,-0.4269066696126128,-0.4443663243791227,-0.44504009478352546,-0.4539168840653186,-0.4674829476226956,-0.4178536537426143,-0.43060840343483553,-0.4442691891143056,-0.4443639237138588,-0.4565974578973666,-0.47339835510063055,-0.1580292427805855
Volatility,0.7567238252269304,0.7489408002659678,0.7492713599782063,0.7581790596102223,0.7764359443836586,0.7997438900280607,0.7229951862064208,0.7166172399457221,0.7246277815038488,0.7388371447403003,0.760101289212758,0.7841536822489462,0.7208843963282797,0.7107952564300829,0.7152774252296099,0.7272788032013717,0.7480895726006453,0.7769871355221553,0.7079794986893518,0.7034506452955768,0.7251026638326368,0.7454488860436452,0.7721594543778079,0.7999700331345679,0.7352945705231594,0.7273593638909422,0.7280443434635789,0.738706544780638,0.7585863868159867,0.7855301649567994,0.7346082186934516,0.7278699468756265,0.7389503167974182,0.7559960896762199,0.7808968599018459,0.8093613314143823,0.1507837189622431
Sharpe Ratio (Annual),0.00814030877449729,0.11075870964765105,0.2528831025210858,0.29398930375313465,0.3531068539993425,0.41505197376201164,-0.5209107872662797,-0.461527274728954,-0.34997908055013643,-0.26069474354535943,-0.14515761915219905,-0.016654527150936686,0.009918997174662164,0.07376339011142029,0.2165590050792299,0.27942053780133363,0.33064904091379527,0.36847971909471133,-0.1531553461376838,-0.12287427409079983,-0.05193035102057189,-0.004993445927721747,0.056139827368997516,0.14017422490817422,0.3093268229880255,0.36918149384189947,0.5071699672265066,0.5690692998580535,0.6353166191148008,0.7012477224001014,0.24705541276793258,0.30689067740217735,0.41684386529760264,0.44992510434416355,0.4848693930761286,0.5416775070154031,0.8332277107839398
Kurtosis (Annual),1.723299647514442,1.6672424265520238,1.5172423275384368,1.4334558382328142,1.3828150755279847,1.4046202060869808,2.1589416780926163,2.0988862974264366,1.9666525020807883,1.9159242774468668,1.9245353776143368,1.9184420114439016,1.7081778119483966,1.527897736106719,1.4150460078183054,1.4850892960960245,1.6046987308187202,1.712813649452305,1.7669311401632912,1.6749101618053528,1.6816961877472778,1.7142587120447024,1.8506680157035778,1.9368771162129876,2.2636317624950806,2.100665035657995,1.7287024488590514,1.641690080099873,1.6050332171089012,1.5983779259712856,1.9032628224765924,1.7898258275051457,1.6128363969097537,1.586726175968729,1.6029861526644282,1.6197835261978835,5.1038105019026805
Skew (Annual),-0.0023430338401251916,-0.022556558947015106,-0.0696269870820943,-0.07809843560617537,-0.07213291955886347,-0.07399774234120901,-0.06493807334657908,-0.06227644665517956,-0.06846748213897087,-0.06022663672572675,-0.04582362210504556,-0.03659113128790656,-0.059004669183276424,-0.09408935519957812,-0.13820879583892182,-0.14834150557737696,-0.15407298551079035,-0.16093758261650085,-0.18450940193738785,-0.19782170072165714,-0.18499501176169952,-0.17359609698955336,-0.16153290598480247,-0.15694989709692603,0.12089295990723395,0.08153122391766447,0.03277460309093055,0.02814132905705731,0.02881188560942702,0.030116053584420207,-0.01962435394960859,-0.056322233529685205,-0.10455098326837915,-0.10346762699916755,-0.08847788340037273,-0.08502088277223148,-0.45269835877077363
