,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Returns (Annual),0.4959283653484076,0.519428572923685,0.5654476542510302,0.5745135633891544,0.5782827928626628,0.5738381182427506,0.6784147482667042,0.7006012068333399,0.7398907893715385,0.7469165382416504,0.747274636191188,0.7430090934340134,0.6079181545863114,0.6261437629461327,0.6679602799577371,0.684151277356728,0.6886374321849643,0.6894363330606051,0.715896179472692,0.7414570108132612,0.7921419314068207,0.8087153766050604,0.811510444804638,0.8042575417896323,0.8800250863708835,0.8947586117430908,0.9160104240852052,0.9176847092812143,0.9144746281644102,0.8952947357373029,0.836080252397483,0.8685366935807833,0.9274248862506119,0.9331982166381166,0.9297355526923033,0.9154110050451731,1.0769812090191642
Arithmetic Mean Returns (Annual),-0.3334772039238476,-0.2973769461116812,-0.21862186933865194,-0.19956945176157606,-0.18562020065522983,-0.18272771273767419,-0.05310518949184931,-0.0346714064379841,0.007537178708267614,0.018960567376583894,0.0262692810671459,0.03171788205670856,-0.15142665925039153,-0.1275649618657215,-0.06262037458934758,-0.032266243730147914,-0.015956411958488015,0.000300709368870601,-0.006344403116849954,0.021637580364654452,0.08356322467695455,0.11057487055048608,0.12480960248132864,0.13168547295073182,0.19071637374929037,0.20233670728715017,0.2256028927381975,0.23378466612608964,0.24146425256148718,0.2348637451321218,0.14984978300991972,0.18020224913533553,0.23901391010509335,0.24841900931836058,0.254236199651538,0.25400801380845234,0.08457267242960752
Geometric Mean Returns (Annual),-0.7003409964997098,-0.6541686007814629,-0.5694879334023906,-0.5536176814012195,-0.5470927731734132,-0.5547914470616366,-0.3876955281608696,-0.35556335504907666,-0.3010712521281378,-0.29163159897560575,-0.29115283752301213,-0.2968705915705472,-0.49721990838241803,-0.46773717831341544,-0.40320107612165645,-0.3792882096541883,-0.3727621898618194,-0.3716044701014276,-0.3339968166125029,-0.2989591992215712,-0.2329061389336473,-0.2122181210138796,-0.20877080206918586,-0.21774085823103584,-0.12777220207585427,-0.1111765768407047,-0.08771214392677695,-0.08588664488617948,-0.08938957067763931,-0.11057783911563868,-0.17896658614827143,-0.14090572104877297,-0.07533212081717311,-0.06912809070652726,-0.07284447051852938,-0.08836650775817523,0.07417295157796655
Minimum Return (Annual),-54.05252001739809,-53.6714024223537,-53.05199334057646,-52.35063817539109,-51.79246269001198,-51.20490629562742,-55.5456729837276,-53.80736563389755,-53.774326395934416,-54.642288927771176,-55.431925395159766,-54.783381228885226,-59.72149477626464,-58.82044424642429,-57.59109852766163,-60.00922617612106,-64.64793847123859,-67.60927726188872,-60.45885792546836,-60.254029120329804,-59.57252934646555,-58.95704631900071,-59.13561109204943,-63.09350796417459,-62.883751500599104,-62.29730682136338,-61.065231388389336,-60.4108211734416,-59.67444992766562,-62.98016039836245,-62.403075065807755,-60.849922822703995,-58.330163503350335,-56.85564530847869,-55.33903147573232,-58.195464903829155,-19.523633778739196
Max 10-day Drawdown,-0.46977447139097595,-0.48041880940349035,-0.49649411372020935,-0.5024257567313299,-0.5095771426640744,-0.514297076538677,-0.4488865855606001,-0.4291469218928222,-0.4307948266364986,-0.44269976660877886,-0.45397352423272075,-0.46496125073696193,-0.46667128624473353,-0.46302865324618825,-0.47991060400390084,-0.49944019172333576,-0.5205253594716913,-0.5434614076255825,-0.44384777651083274,-0.4342615582138376,-0.4256259268404563,-0.42712948416362706,-0.4288857741405817,-0.45684064205299657,-0.46750224915120775,-0.4725052059734869,-0.5088980729604508,-0.5317982016068361,-0.5546118658666797,-0.5770025797422633,-0.47307870059945145,-0.47047257181829105,-0.46238987768334927,-0.45834769137428855,-0.467094479164081,-0.5016441127200051,-0.12437183444147581
Volatility,0.864717998194424,0.8499790301851451,0.8382097607676876,0.8399398984274344,0.8470010045305394,0.8579379454001933,0.8265290710373798,0.807168592598783,0.7873791307102902,0.7883391395617243,0.7957270995377396,0.8085969186285898,0.8457967678058422,0.8353410910704588,0.8291073203581679,0.8338048720838402,0.8427440590049103,0.8581787278424535,0.8189087777991468,0.8075568584956423,0.7978082965016963,0.8038807795117675,0.8152996274189305,0.8325355724247933,0.8000076181114001,0.7912710192045255,0.7869158810895548,0.793260036772977,0.8057866012231035,0.8222050064801018,0.8130863566015872,0.8018477647046844,0.7900969844720026,0.79239659906623,0.8028482616399043,0.8201795319290973,0.14382125794335493
Sharpe Ratio (Annual),-0.4550352886668815,-0.4204538387656884,-0.33240112723511084,-0.3090333632770051,-0.2899880866037081,-0.28291989419403935,-0.13684357084971077,-0.11728826828256207,-0.06662968225282523,-0.05205809348275147,-0.04238980795356754,-0.03497678174591483,-0.24997335920172942,-0.22453697521974395,-0.14789445416592936,-0.11065687766918014,-0.09012986937953062,-0.06956510187711053,-0.08101562092807632,-0.04750429549543917,0.0295349456508246,0.0629133969109231,0.07949176020906866,0.08610499698162448,0.16339391124534053,0.17988363510424407,0.21044548307870672,0.21907654245769734,0.22520137749379623,0.21267657549389257,0.11050460050204257,0.1499065713297901,0.22657207105368565,0.2377837178256392,0.24193388580650294,0.2365433496641122,0.17085563553675528
Kurtosis (Annual),10.8529845248808,7.892046172253526,3.9535560338161204,2.7236470017692795,1.9380526307150925,1.4745087230908434,11.893661507440118,8.913693843339692,4.288648463245847,2.9986623816817657,2.2802251611952986,1.931824987165335,22.821269140483906,17.716115724666693,9.246515731791598,6.288711880655603,4.34064567079425,3.1474378557109555,18.020007185128815,14.406997438056063,8.092718389843057,5.904067429659776,4.2838800165358295,3.201017281306963,9.000054950709705,6.9492708113486295,3.97157303975648,3.105792662609651,2.7244397019857853,2.6079966321644985,11.246631864429395,9.116645390134847,5.127028492904479,3.7003554096449243,2.9462725177194145,2.5583854918483686,7.916047033310077
Skew (Annual),0.9764818138653709,0.7197152197368039,0.2941187166459883,0.11916633412888814,-0.016294166168076735,-0.11625180793272445,1.0353095875215006,0.8022692115513693,0.3655049537744287,0.20990293925065379,0.0978142211471552,0.017438127260037767,1.6663976031914924,1.3158503682978446,0.6507319750154482,0.3619572623159618,0.12879014178213793,-0.042960526705460925,1.257767209659906,0.9959261643881846,0.5034325707994456,0.3090222101180223,0.13129641820987176,-0.023533059600185997,0.4944659991480074,0.25495514662925345,-0.14258346370337519,-0.2848274449456148,-0.376715631655194,-0.4450899652997396,0.5770673593033872,0.3951152089315049,0.031068461677080796,-0.1385084064346502,-0.25392828847761406,-0.33835755065022927,-0.8992041071546787
mVaR (Annual),-99.85254884025817,-109.93629234561551,-125.42412865289874,-131.93565105349927,-137.57238348937875,-142.5342806158669,-90.46091532298458,-99.08359624683881,-114.2718132372153,-120.01070103205883,-124.83087861526204,-129.24811025934912,-56.650076029469076,-74.38093054437996,-105.30491704511174,-117.98675986718854,-128.22625277551197,-136.75000750039763,-73.24673281748285,-84.84885654339848,-105.87294248082772,-114.74354504184744,-123.19781329362254,-131.28502766378068,-104.24104361576717,-111.94473562566418,-124.86158121424694,-130.33084403514707,-134.99654489223963,-139.52450958867178,-100.49274597949452,-106.75904290282391,-119.57361365702286,-125.94047874731679,-131.37308543613443,-136.77860947750847,-24.281762073395942
