,\(S^{60}_{60}(\beta=-1.0)\),\(S^{60}_{60}(\beta=-0.5)\),\(S^{60}_{60}(\beta=0.5)\),\(S^{60}_{60}(\beta=1.0)\),\(S^{60}_{60}(\beta=1.5)\),\(S^{60}_{60}(\beta=2.0)\),\(S^{60}_{120}(\beta=-1.0)\),\(S^{60}_{120}(\beta=-0.5)\),\(S^{60}_{120}(\beta=0.5)\),\(S^{60}_{120}(\beta=1.0)\),\(S^{60}_{120}(\beta=1.5)\),\(S^{60}_{120}(\beta=2.0)\),\(S^{90}_{60}(\beta=-1.0)\),\(S^{90}_{60}(\beta=-0.5)\),\(S^{90}_{60}(\beta=0.5)\),\(S^{90}_{60}(\beta=1.0)\),\(S^{90}_{60}(\beta=1.5)\),\(S^{90}_{60}(\beta=2.0)\),\(S^{90}_{120}(\beta=-1.0)\),\(S^{90}_{120}(\beta=-0.5)\),\(S^{90}_{120}(\beta=0.5)\),\(S^{90}_{120}(\beta=1.0)\),\(S^{90}_{120}(\beta=1.5)\),\(S^{90}_{120}(\beta=2.0)\),\(S^{120}_{60}(\beta=-1.0)\),\(S^{120}_{60}(\beta=-0.5)\),\(S^{120}_{60}(\beta=0.5)\),\(S^{120}_{60}(\beta=1.0)\),\(S^{120}_{60}(\beta=1.5)\),\(S^{120}_{60}(\beta=2.0)\),\(S^{120}_{120}(\beta=-1.0)\),\(S^{120}_{120}(\beta=-0.5)\),\(S^{120}_{120}(\beta=0.5)\),\(S^{120}_{120}(\beta=1.0)\),\(S^{120}_{120}(\beta=1.5)\),\(S^{120}_{120}(\beta=2.0)\),SPY
Cumulative Returns (Annual),3.8368,3.8297,3.8219,3.7803,3.6472,3.4493,4.9195,4.8497,4.5314,4.3239,4.0830,3.8720,5.9865,5.9496,5.5748,5.2739,5.0177,4.9510,6.7861,6.5281,5.9731,5.7247,5.5887,5.3392,6.6619,6.2123,5.6994,5.4030,4.9486,4.5644,6.1897,5.8874,5.2227,4.9259,4.7650,4.5420,0.9644
Arithmetic Mean Returns (Annual),1.6503,1.6345,1.6235,1.6178,1.5910,1.5496,1.8661,1.8365,1.7557,1.7112,1.6609,1.6191,2.1038,2.0845,2.0043,1.9482,1.9039,1.9036,2.2063,2.1534,2.0526,2.0112,1.9937,1.9551,2.1951,2.1020,2.0001,1.9401,1.8488,1.7693,2.1117,2.0423,1.9017,1.8435,1.8185,1.7805,-0.0214
Geometric Mean Returns (Annual),1.3483,1.3464,1.3443,1.3333,1.2973,1.2412,1.5983,1.5839,1.5156,1.4684,1.4108,1.3574,1.7959,1.7897,1.7242,1.6683,1.6182,1.6047,1.9222,1.8832,1.7937,1.7509,1.7267,1.6807,1.9036,1.8332,1.7464,1.6927,1.6042,1.5229,1.8295,1.7791,1.6585,1.5996,1.5662,1.5180,-0.0362
Minimum Return (Annual),-44.7289,-47.4883,-52.9759,-56.1288,-59.1416,-62.2160,-57.1246,-59.9001,-65.3671,-68.0963,-70.7905,-73.5078,-46.2963,-47.3185,-52.4121,-55.4892,-57.7419,-59.3230,-52.7134,-54.9567,-59.8627,-62.2949,-64.8629,-67.3731,-46.6696,-46.6517,-47.5185,-49.0611,-50.8233,-52.6881,-47.4232,-48.8173,-51.9945,-54.1730,-56.6386,-58.8764,-7.4084
Max 10-day Drawdown,-0.3799,-0.3683,-0.3461,-0.3564,-0.3670,-0.3768,-0.3850,-0.3759,-0.4001,-0.4169,-0.4329,-0.4425,-0.3398,-0.3132,-0.2653,-0.2688,-0.2790,-0.2930,-0.3290,-0.3162,-0.2874,-0.2732,-0.2891,-0.3101,-0.3241,-0.3006,-0.2632,-0.2491,-0.2359,-0.2286,-0.3229,-0.3080,-0.2791,-0.2648,-0.2564,-0.2616,-0.0748
Volatility,0.7760,0.7583,0.7470,0.7536,0.7647,0.7819,0.7299,0.7082,0.6880,0.6904,0.6992,0.7138,0.7844,0.7681,0.7486,0.7474,0.7542,0.7705,0.7559,0.7370,0.7200,0.7210,0.7291,0.7377,0.7668,0.7366,0.7158,0.7071,0.7020,0.7035,0.7543,0.7286,0.6999,0.7001,0.7117,0.7251,0.1723
Sharpe Ratio (Annual),2.0495,2.0763,2.0931,2.0670,2.0021,1.9051,2.4744,2.5083,2.4647,2.3918,2.2896,2.1842,2.6055,2.6359,2.5971,2.5263,2.4450,2.3928,2.8394,2.8406,2.7674,2.7063,2.6521,2.5691,2.7844,2.7721,2.7102,2.6588,2.5480,2.4298,2.7198,2.7206,2.6316,2.5474,2.4710,2.3728,-0.4722
Kurtosis (Annual),2.5804,2.8307,3.3305,3.5849,3.7634,3.8714,4.4851,5.4319,7.6044,8.5310,9.2204,9.5967,3.0385,3.2162,3.4069,3.5860,3.6444,3.6409,3.9851,4.5576,5.7836,6.2730,6.5307,6.7731,3.8053,4.2873,5.2117,5.3481,5.2687,5.2129,4.3542,5.0143,6.2790,6.6741,6.9157,6.7475,0.4725
Skew (Annual),-0.1125,-0.0674,-0.0141,-0.0263,-0.0899,-0.1957,-0.1572,-0.1974,-0.3666,-0.4649,-0.5588,-0.6417,-0.0644,-0.0298,-0.0231,-0.0875,-0.1587,-0.2063,0.1418,0.1389,0.0700,0.0073,-0.0626,-0.1679,0.2228,0.2654,0.3314,0.3460,0.2738,0.1673,0.2465,0.2730,0.2700,0.2304,0.2082,0.1426,-0.2775
mVaR (Annual),-115.6217,-111.5075,-107.8824,-108.8420,-111.8536,-116.9951,-104.8767,-101.0395,-98.4963,-99.6899,-102.1890,-105.8134,-112.3369,-108.8135,-105.8078,-107.0607,-109.8252,-113.4892,-101.2292,-97.8880,-95.6079,-96.5976,-99.0002,-102.3677,-101.4282,-95.8436,-90.6748,-89.2950,-90.7552,-93.7379,-98.7224,-93.8034,-88.7535,-89.4146,-91.3533,-95.1656,-29.6452
VaR (Daily),-7.4123,-7.2348,-7.1217,-7.1931,-7.3186,-7.5142,-6.8466,-6.6332,-6.4548,-6.4973,-6.6094,-6.7780,-7.3185,-7.1562,-6.9863,-6.9963,-7.0838,-7.2539,-6.9812,-6.8053,-6.6693,-6.6961,-6.7874,-6.8918,-7.0990,-6.8224,-6.6468,-6.5802,-6.5638,-6.6105,-7.0027,-6.7630,-6.5199,-6.5459,-6.6760,-6.8309,-1.8009
VaR (Annual),-117.1987,-114.3926,-112.6036,-113.7322,-115.7177,-118.8103,-108.2549,-104.8806,-102.0586,-102.7318,-104.5033,-107.1703,-115.7161,-113.1498,-110.4633,-110.6212,-112.0051,-114.6945,-110.3832,-107.6020,-105.4506,-105.8750,-107.3183,-108.9685,-112.2452,-107.8721,-105.0946,-104.0414,-103.7827,-104.5208,-110.7230,-106.9332,-103.0889,-103.5005,-105.5560,-108.0065,-28.4753
