,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Annual_cumulatedRet,0.49736557183993757,0.5272113087788138,0.5570018571581705,0.55573235058844,0.5583228681219091,0.5654096187432492,0.5195973711390738,0.5574099067622236,0.6246924588822437,0.6548365706228588,0.6781087331617567,0.6957484108073771,,,,,,,,,,,,,,,,,,,0.5308006009979881,0.5612914779853659,,,,,1.085139148156822
Annual_ariMeanRet,-0.14968669453577746,-0.09877405013996059,-0.01111281061352587,0.0285203077747082,0.07034505579187589,0.11405205881561029,-0.09071927403459144,-0.04039811189508182,0.06502394689249566,0.11552606345001454,0.16382216651123616,0.21252028483505822,-0.14454989459534706,-0.1061221275150481,-0.014399215955949918,0.03189388823215352,0.06362186935415504,0.09068265815201859,-0.09111630186773155,-0.046407125162941515,0.043460157525455685,0.08535530599021564,0.1282981981392915,0.1602164513897888,0.01596404375616696,0.036452936211640245,0.11425232938973554,0.1427376124793909,0.17987337773737522,0.21371697843340276,0.10326087843800656,0.1474908789962976,0.23412489986246826,0.2559137095763511,0.2699959652082887,0.2985844624596965,0.10318669006375884
Annual_geoMeanRet,-0.6974552653092048,-0.6393349505970369,-0.5845023519553683,-0.5867787863675089,-0.582139041507751,-0.569555048608783,-0.6538445345013744,-0.5837717491246064,-0.47005336112007634,-0.42301130364405526,-0.3881460036238571,-0.3625040899541687,,,,,,,,,,,,,,,,,,,-0.6325672092066525,-0.5768484061187407,,,,,0.08172157984176476
Annual_MinRet,-160.73185515736344,-177.13926413332314,-209.6288422928623,-224.43624616169078,-229.32042358370347,-229.22119385359946,-132.4238345365503,-142.62287799460532,-161.3191852248966,-156.89756996926226,-154.45752707616435,-148.4460527607995,-409.49254169220154,-411.26930766764616,-412.0279023472832,-411.22688563869457,-407.2115040301529,-406.8818100442576,-300.86978495837764,-300.4215833265853,-307.693886518088,-314.8488370892575,-320.45753371769774,-323.57303597128487,-338.84990923782823,-355.66723620458265,-381.88347019253706,-386.785801881285,-386.54199465532975,-385.34598440153434,-244.4975162565051,-244.8368475082803,-275.97755413891537,-309.5222132565247,-363.23510732197747,-371.12900343118446,-27.355911572946173
Max_10day_Drawdown,-0.6937074263938148,-0.7506106577087607,-0.8633771442635871,-0.9138558407358384,-0.9303527951418443,-0.9299287793483078,-0.6686050527028925,-0.6653197401987505,-0.708163455982739,-0.6927096978540566,-0.6845108638543526,-0.6643880237973213,-1.6156796488965173,-1.6195746761961294,-1.624550260100646,-1.624700221085095,-1.6114747449398954,-1.6104112001273698,-1.1967595526563315,-1.1961125336002687,-1.2246685477494035,-1.2525567086556046,-1.2750334185489671,-1.288800452313846,-1.3726761455972027,-1.4399239642851538,-1.5428902451927653,-1.5611948628724672,-1.5584989280289951,-1.5519721897808245,-0.980377250835014,-0.9817258080049127,-1.1019582778945218,-1.2344833216546867,-1.4479091836499327,-1.4811235821804705,-0.24948300505769017
vol,1.033931705190424,1.019937944777583,1.0253509202720616,1.040544912278504,1.0623057952698758,1.0895339875357894,1.05264655826613,1.0316257976761416,1.0183303871421292,1.0230348701885241,1.0363625183919423,1.0589749026221755,1.114765439656701,1.1015094326401724,1.0984303988137647,1.1091385985718833,1.1259264818058428,1.1534002186120644,1.094714919798168,1.0773273225970712,1.0703412494745794,1.0826108019412417,1.1033753935943638,1.133070088996943,1.0614604491908544,1.052858141722566,1.0658468496033922,1.08147841346937,1.1008680794573231,1.127298153273873,1.0601596092588481,1.045047570588582,1.0491604240090493,1.0692523164451042,1.1086675434119924,1.1399888450253668,0.20704487713959027
Annual_SharpeRatio,-0.20280516931933962,-0.15567030421109035,-0.06935460748858267,-0.03025308360439727,0.009738303074255335,0.04961025487406814,-0.14318127281283205,-0.0973202803974468,0.004933513676828408,0.054275826824732025,0.10017939154373356,0.1440263451545413,-0.18349142099197072,-0.15081316836014316,-0.06773229877495776,-0.02534048657583069,0.0032167902724394765,0.026601918099981237,-0.13804169390108686,-0.09876954100303516,-0.015452868403103746,0.023420518199846845,0.06189933048697306,0.08844682457243754,-0.04148619600231117,-0.02236489689848885,0.05090067997097627,0.07650417377631202,0.10888986607411419,0.13635876009109169,0.04080600511488078,0.08371951809525933,0.16596594369915577,0.18322495688173654,0.18941292766812065,0.20928666407642574,0.20858613195554823
Annual_Kurtosis,7.154406127810944,7.9525082580983035,10.971593901975801,12.72952154448855,12.820110531702863,12.079754545671957,5.89011952269812,5.806320240015474,6.173093236622309,5.6987841967880595,5.451170081206058,5.195863506689092,89.20185772104912,94.13769621232751,94.6959497626012,90.23239524251846,81.79697844046528,74.30072970906993,30.846596414823402,31.977770101116874,34.86415576921334,36.16183934672381,35.91371157926455,33.88106602382322,51.416408371237885,63.134256054194466,78.7116189045354,78.1203384129139,72.80143706698702,65.79408415389926,17.25603030044285,17.694112318045836,25.135713826694236,35.21349851636982,55.95030612235977,54.76848855760599,14.86576961465233
Annual_Skew,0.04055679884852626,-0.12031672946496792,-0.4500386582828188,-0.60477002727962,-0.653976616762266,-0.6423019661709486,0.08389049018967466,-0.011004875866235867,-0.1673686762707353,-0.15004666460805777,-0.13987456981362853,-0.1123045245981138,-3.2713970563188175,-3.4952931080075698,-3.6714946678476346,-3.6040784707284756,-3.3978885330544624,-3.2032336520804368,-1.239083787813705,-1.3390938195061974,-1.5876628939162072,-1.7035637482089008,-1.7569127830510798,-1.7306864457808033,-2.195721145659065,-2.679276744082942,-3.2907790645137305,-3.3055048715822575,-3.154058986843777,-2.9355802537667697,-0.6935409528237696,-0.7637825454320236,-1.2425014506647662,-1.7397999854991886,-2.5862622468261525,-2.580544525853067,-0.046914821487074966
